Order ID,Customer ID,Category,Sales,Quantity,Discount,Profit,Region,Order Date,Ship Mode,Sub-Category
ORD-0065,CUST-7439,Office Supplies,168.76,3,0.21,-160.18,West,2023-10-18,First Class,Labels
ORD-0066,CUST-8892,Technology,676.91,9,0.27,14.8,East,2022-04-20,Same Day,Copiers
ORD-0067,CUST-7863,Technology,187.46,5,0.22,77.16,Central,2023-11-06,Second Class,Copiers
ORD-0068,CUST-8916,Furniture,697.01,2,0.37,-35.63,Central,2023-07-19,Second Class,Bookcases
ORD-0069,CUST-9529,Furniture,237.3,3,0.41,160.22,West,2023-05-30,Same Day,Furnishings
ORD-0070,CUST-1878,Technology,126.38,9,0.39,121.89,Central,2022-03-09,Same Day,Phones
ORD-0071,CUST-5887,Office Supplies,173.63,7,0.02,-33.59,East,2022-09-03,First Class,Art
ORD-0072,CUST-5859,Furniture,11.97,2,0.1,177.44,West,2023-01-24,Standard Class,Furnishings
ORD-0073,CUST-7331,Furniture,721.55,9,0.27,124.35,Central,2023-10-12,First Class,Tables
ORD-0074,CUST-9571,Office Supplies,735.08,4,0.47,118.72,Central,2022-11-04,Second Class,Binders
ORD-0075,CUST-9684,Furniture,519.78,9,0.42,76.71,West,2022-12-18,Same Day,Furnishings
ORD-0076,CUST-8208,Office Supplies,169.75,2,0.42,-194.31,Central,2022-03-07,Second Class,Art
ORD-0077,CUST-6276,Office Supplies,92.72,4,0.15,148.25,Central,2023-04-05,Standard Class,Labels
ORD-0078,CUST-3062,Office Supplies,28.94,5,0.21,-11.98,West,2022-12-13,First Class,Binders
ORD-0079,CUST-1064,Technology,174.09,2,0.24,271.3,Central,2022-11-21,Second Class,Copiers
ORD-0080,CUST-9006,Technology,891.95,1,0.08,208.99,Central,2023-10-29,First Class,Accessories
ORD-0081,CUST-3568,Technology,249.12,7,0.02,93.85,Central,2023-08-22,Same Day,Accessories
ORD-0082,CUST-6463,Office Supplies,360.73,1,0.47,-73.91,Central,2022-02-02,Second Class,Paper
ORD-0083,CUST-3027,Office Supplies,114.29,8,0.12,-98.14,South,2022-03-09,Standard Class,Labels
ORD-0084,CUST-3695,Technology,230.14,3,0.12,-29.81,West,2022-07-06,First Class,Phones
ORD-0085,CUST-6258,Furniture,524.03,6,0.04,38.28,South,2022-07-11,First Class,Tables
ORD-0086,CUST-6618,Office Supplies,611.68,7,0.46,-51.97,South,2022-08-01,Standard Class,Art
ORD-0087,CUST-7736,Furniture,252.9,1,0.29,57.46,East,2023-08-23,Second Class,Bookcases
ORD-0088,CUST-1391,Furniture,67.15,6,0.33,-117.31,South,2023-03-04,Second Class,Bookcases
ORD-0089,CUST-6892,Office Supplies,397.12,7,0.46,288.86,South,2022-12-17,First Class,Labels
ORD-0090,CUST-4561,Office Supplies,241.86,6,0.17,-146.04,East,2022-04-18,Standard Class,Binders
ORD-0091,CUST-7184,Furniture,227.36,4,0.31,265.97,Central,2022-08-28,First Class,Chairs
ORD-0092,CUST-4099,Furniture,960.26,1,0.02,256.79,Central,2022-08-04,First Class,Tables
ORD-0093,CUST-7278,Technology,620.14,9,0.09,62.68,South,2022-06-26,Same Day,Phones
ORD-0094,CUST-9392,Technology,561.31,4,0.42,162.46,East,2023-07-19,Second Class,Copiers
ORD-0095,CUST-4104,Office Supplies,421.62,7,0.38,18.02,Central,2022-11-26,Second Class,Art
ORD-0096,CUST-8215,Technology,434.65,7,0.18,115.02,East,2023-07-15,Same Day,Machines
ORD-0097,CUST-3454,Technology,545.5,2,0.19,-29.71,West,2023-09-18,Second Class,Copiers
ORD-0098,CUST-9996,Technology,699.47,1,0.27,-49.42,West,2023-03-26,Second Class,Phones
ORD-0099,CUST-3731,Technology,705.12,8,0.0,89.11,West,2023-08-30,Second Class,Copiers
ORD-0100,CUST-9154,Furniture,179.98,8,0.12,49.06,West,2023-03-23,Standard Class,Tables
ORD-0101,CUST-6056,Office Supplies,505.11,7,0.1,89.77,South,2023-06-21,Same Day,Labels
ORD-0102,CUST-9110,Technology,417.84,8,0.13,-56.67,West,2023-10-06,First Class,Machines
ORD-0103,CUST-4840,Furniture,871.82,3,0.4,-16.52,West,2022-06-28,Standard Class,Chairs
ORD-0104,CUST-2028,Furniture,635.1,2,0.14,-158.05,East,2023-01-30,First Class,Bookcases
ORD-0105,CUST-8385,Furniture,537.18,7,0.1,-173.86,Central,2022-05-25,Same Day,Bookcases
ORD-0106,CUST-1502,Technology,124.24,8,0.25,-73.27,East,2022-07-17,Same Day,Phones
ORD-0107,CUST-7910,Technology,609.58,1,0.43,-162.88,South,2022-03-25,Same Day,Phones
ORD-0108,CUST-7938,Office Supplies,126.03,9,0.12,-148.11,West,2023-10-31,Second Class,Paper
ORD-0109,CUST-5488,Technology,343.83,4,0.04,206.46,Central,2022-03-26,Standard Class,Phones
ORD-0110,CUST-1206,Technology,151.41,4,0.18,-180.56,Central,2023-04-02,Same Day,Copiers
ORD-0111,CUST-6134,Furniture,695.15,3,0.37,129.47,West,2023-04-21,First Class,Tables
ORD-0112,CUST-6977,Office Supplies,214.19,6,0.28,-63.72,West,2022-09-10,Second Class,Labels
ORD-0113,CUST-8721,Technology,397.94,1,0.41,235.77,South,2022-03-13,Second Class,Copiers
ORD-0114,CUST-8035,Technology,896.72,6,0.48,42.5,South,2022-08-11,Standard Class,Machines
ORD-0115,CUST-2484,Furniture,212.27,2,0.4,-47.21,West,2022-10-03,Standard Class,Furnishings
ORD-0116,CUST-8858,Furniture,512.73,9,0.3,58.82,West,2022-09-03,Standard Class,Furnishings
ORD-0117,CUST-1863,Technology,425.08,2,0.25,-9.02,West,2022-12-07,Second Class,Copiers
ORD-0118,CUST-3790,Office Supplies,27.94,7,0.02,82.15,West,2023-07-27,Same Day,Labels
ORD-0119,CUST-8408,Office Supplies,794.83,1,0.49,-142.73,Central,2023-04-16,First Class,Art
ORD-0120,CUST-9755,Furniture,78.36,7,0.19,298.5,South,2023-03-30,Same Day,Furnishings
ORD-0121,CUST-6116,Furniture,479.51,5,0.08,12.78,West,2022-01-07,First Class,Chairs
ORD-0122,CUST-7019,Technology,565.07,8,0.33,-25.88,West,2022-07-07,Same Day,Phones
ORD-0123,CUST-2757,Furniture,632.14,4,0.14,155.1,Central,2022-01-04,Standard Class,Bookcases
ORD-0124,CUST-8574,Technology,691.75,7,0.29,-18.05,East,2023-10-07,First Class,Machines
ORD-0125,CUST-7374,Office Supplies,260.74,6,0.29,216.64,West,2022-05-05,Second Class,Labels
ORD-0126,CUST-7892,Office Supplies,19.88,5,0.22,27.14,Central,2022-01-15,First Class,Labels
ORD-0127,CUST-2678,Technology,726.21,4,0.42,159.78,Central,2023-06-09,Second Class,Phones
ORD-0128,CUST-4242,Furniture,540.3,7,0.13,-146.27,East,2023-09-22,Same Day,Furnishings
ORD-0129,CUST-5636,Office Supplies,837.76,5,0.22,223.06,South,2022-08-28,Standard Class,Labels
ORD-0130,CUST-2059,Furniture,823.17,5,0.27,167.86,South,2022-12-26,First Class,Bookcases
ORD-0131,CUST-7668,Office Supplies,844.89,1,0.33,-94.14,South,2023-06-02,Second Class,Labels
ORD-0132,CUST-4157,Technology,490.24,2,0.39,-127.36,West,2022-11-16,Same Day,Phones
ORD-0133,CUST-6915,Technology,340.29,5,0.2,-41.85,South,2022-08-19,Standard Class,Machines
ORD-0134,CUST-3693,Technology,793.64,3,0.32,288.04,West,2022-01-30,Standard Class,Phones
ORD-0135,CUST-4627,Office Supplies,456.78,2,0.08,-71.58,West,2023-06-18,Standard Class,Binders
ORD-0136,CUST-6450,Furniture,191.61,4,0.47,28.06,Central,2022-06-05,Same Day,Tables
ORD-0137,CUST-2663,Furniture,856.42,4,0.19,-184.99,South,2023-09-22,Same Day,Chairs
ORD-0138,CUST-6592,Furniture,883.73,4,0.36,-1.39,South,2023-12-06,Same Day,Tables
ORD-0139,CUST-8392,Office Supplies,471.65,4,0.01,85.66,South,2023-02-03,Standard Class,Paper
ORD-0140,CUST-2306,Office Supplies,84.94,3,0.1,276.56,West,2022-12-12,First Class,Labels
ORD-0141,CUST-7776,Office Supplies,393.95,7,0.24,58.37,West,2022-07-14,Second Class,Paper
ORD-0142,CUST-6864,Office Supplies,805.5,9,0.44,209.55,South,2022-06-17,Same Day,Art
ORD-0143,CUST-8526,Office Supplies,902.76,5,0.26,73.56,West,2023-01-12,First Class,Binders
ORD-0144,CUST-9901,Furniture,211.44,4,0.46,-179.61,West,2023-05-04,Second Class,Bookcases
ORD-0145,CUST-6575,Office Supplies,76.3,2,0.24,-42.5,East,2022-12-28,Standard Class,Paper
ORD-0146,CUST-6530,Office Supplies,878.58,2,0.25,87.77,East,2023-04-27,First Class,Labels
ORD-0147,CUST-5413,Furniture,395.51,5,0.06,275.3,South,2022-09-01,Standard Class,Chairs
ORD-0148,CUST-4748,Office Supplies,546.34,7,0.4,229.57,South,2023-08-04,Second Class,Art
ORD-0149,CUST-1663,Furniture,968.39,9,0.12,-85.82,East,2023-08-30,Same Day,Furnishings
ORD-0150,CUST-2998,Furniture,75.9,7,0.45,-89.95,West,2023-08-12,Standard Class,Tables
ORD-0151,CUST-8994,Technology,651.83,5,0.46,-99.41,West,2022-06-20,First Class,Machines
ORD-0152,CUST-2495,Technology,83.36,6,0.47,261.25,Central,2023-05-28,Same Day,Copiers
ORD-0153,CUST-4304,Technology,381.71,3,0.26,226.33,South,2023-02-10,First Class,Machines
ORD-0154,CUST-4763,Technology,805.78,5,0.34,187.44,South,2023-07-28,Second Class,Copiers
ORD-0155,CUST-6232,Office Supplies,439.14,8,0.39,-3.63,South,2022-07-26,Second Class,Labels
ORD-0156,CUST-2853,Technology,997.21,1,0.07,52.19,Central,2022-06-03,Same Day,Phones
ORD-0157,CUST-7585,Furniture,563.47,1,0.3,32.17,Central,2022-02-17,First Class,Furnishings
ORD-0158,CUST-2291,Office Supplies,327.95,7,0.02,-73.3,West,2023-10-11,First Class,Binders
ORD-0159,CUST-4581,Technology,227.91,5,0.25,52.51,East,2022-01-01,First Class,Copiers
ORD-0160,CUST-8554,Furniture,357.02,5,0.08,-184.75,East,2023-02-11,First Class,Chairs
ORD-0161,CUST-8280,Office Supplies,378.81,1,0.09,-134.09,East,2022-04-17,Second Class,Labels
ORD-0162,CUST-2636,Office Supplies,78.03,9,0.18,243.29,West,2022-06-22,First Class,Binders
ORD-0163,CUST-4696,Technology,375.88,1,0.22,175.84,East,2023-05-21,Second Class,Copiers
ORD-0164,CUST-1698,Office Supplies,469.6,5,0.31,11.43,Central,2022-05-10,First Class,Labels
ORD-0165,CUST-5737,Furniture,725.51,9,0.04,58.58,Central,2023-02-02,First Class,Chairs
ORD-0166,CUST-1854,Office Supplies,660.16,4,0.25,-15.0,South,2022-10-21,Standard Class,Binders
ORD-0167,CUST-9164,Furniture,711.68,8,0.09,170.39,East,2023-07-06,Standard Class,Tables
ORD-0168,CUST-6855,Office Supplies,18.28,6,0.29,192.09,Central,2023-03-23,First Class,Binders
ORD-0169,CUST-8392,Technology,225.49,3,0.32,181.64,South,2022-01-16,Second Class,Accessories
ORD-0170,CUST-7528,Furniture,665.07,4,0.28,161.31,East,2023-10-01,First Class,Bookcases
ORD-0171,CUST-6249,Office Supplies,489.15,2,0.37,-97.75,East,2022-12-15,Standard Class,Paper
ORD-0172,CUST-6172,Office Supplies,15.26,1,0.17,-31.02,Central,2022-07-22,First Class,Art
ORD-0173,CUST-2707,Office Supplies,806.45,8,0.38,34.92,South,2022-05-14,Standard Class,Binders
ORD-0174,CUST-6791,Furniture,775.08,1,0.22,-34.6,South,2023-06-10,First Class,Chairs
ORD-0175,CUST-6535,Furniture,552.93,1,0.24,177.47,Central,2023-05-23,Same Day,Tables
ORD-0176,CUST-5931,Furniture,75.8,4,0.32,-35.32,Central,2022-03-07,First Class,Bookcases
ORD-0177,CUST-4510,Technology,768.85,6,0.01,-130.88,Central,2023-04-25,Second Class,Phones
ORD-0178,CUST-1202,Technology,587.88,9,0.33,-0.48,East,2023-04-04,Standard Class,Accessories
ORD-0179,CUST-5218,Furniture,784.14,1,0.31,289.96,Central,2022-12-08,Same Day,Tables
ORD-0180,CUST-9958,Office Supplies,754.23,7,0.15,-87.06,Central,2023-12-08,Standard Class,Paper
ORD-0181,CUST-5389,Technology,804.97,5,0.04,106.08,West,2023-09-18,Standard Class,Phones
ORD-0182,CUST-3327,Furniture,522.83,8,0.05,16.49,Central,2022-06-08,Second Class,Bookcases
ORD-0183,CUST-9004,Office Supplies,148.92,7,0.46,-164.49,Central,2022-06-10,First Class,Binders
ORD-0184,CUST-3931,Technology,674.45,4,0.34,43.94,East,2022-09-11,Second Class,Machines
ORD-0185,CUST-8777,Office Supplies,624.27,4,0.06,151.08,South,2023-06-11,First Class,Labels
ORD-0186,CUST-1197,Office Supplies,744.83,6,0.18,56.61,East,2023-07-03,Same Day,Binders
ORD-0187,CUST-8125,Office Supplies,178.18,6,0.3,236.05,West,2022-06-04,Second Class,Art
ORD-0188,CUST-2930,Office Supplies,203.03,9,0.42,-55.53,Central,2023-05-01,Second Class,Paper
ORD-0189,CUST-7287,Technology,891.51,5,0.02,-156.88,Central,2023-03-08,Standard Class,Machines
ORD-0190,CUST-9800,Technology,752.48,8,0.12,268.28,Central,2022-01-27,Second Class,Machines
ORD-0191,CUST-5282,Technology,909.15,5,0.44,-10.9,Central,2022-01-12,First Class,Phones
ORD-0192,CUST-3511,Furniture,761.13,2,0.0,88.2,Central,2022-03-08,Second Class,Furnishings
ORD-0193,CUST-1659,Technology,601.18,6,0.1,196.0,Central,2023-06-26,Second Class,Machines
ORD-0194,CUST-3811,Office Supplies,657.59,9,0.48,-37.84,West,2022-04-06,Same Day,Paper
ORD-0195,CUST-8098,Technology,890.24,3,0.31,158.08,Central,2022-08-03,First Class,Accessories
ORD-0196,CUST-7546,Office Supplies,583.02,1,0.13,-132.29,Central,2022-07-13,Standard Class,Art
ORD-0197,CUST-2986,Furniture,636.07,1,0.03,-54.35,Central,2023-10-09,First Class,Furnishings
ORD-0198,CUST-9338,Office Supplies,164.91,3,0.01,-127.64,West,2022-10-17,Same Day,Art
ORD-0199,CUST-3911,Office Supplies,479.18,5,0.12,205.62,Central,2023-06-28,First Class,Art
ORD-0200,CUST-2734,Office Supplies,719.23,3,0.44,-88.68,West,2022-02-08,First Class,Paper
ORD-0201,CUST-2843,Furniture,278.23,9,0.21,158.7,East,2022-07-25,Second Class,Tables
ORD-0202,CUST-9680,Technology,210.23,8,0.36,271.65,Central,2023-07-09,Second Class,Phones
ORD-0203,CUST-3976,Technology,320.69,3,0.46,63.89,South,2023-04-29,First Class,Accessories
ORD-0204,CUST-2959,Furniture,249.09,9,0.2,70.01,West,2022-12-03,First Class,Bookcases
ORD-0205,CUST-6759,Office Supplies,222.76,6,0.1,30.52,East,2023-05-11,Standard Class,Labels
ORD-0206,CUST-7694,Technology,430.6,7,0.26,-37.05,West,2022-09-06,Same Day,Copiers
ORD-0207,CUST-3385,Furniture,908.76,4,0.45,37.83,West,2022-03-15,Second Class,Bookcases
ORD-0208,CUST-5736,Technology,511.99,4,0.4,101.4,East,2023-01-08,Second Class,Copiers
ORD-0209,CUST-2802,Furniture,196.04,2,0.03,293.0,Central,2023-12-03,Second Class,Tables
ORD-0210,CUST-9155,Office Supplies,86.2,5,0.35,268.88,Central,2022-05-18,Second Class,Art
ORD-0211,CUST-9120,Technology,699.19,8,0.29,231.08,West,2023-04-02,First Class,Phones
ORD-0212,CUST-7616,Furniture,388.97,7,0.45,244.57,East,2023-03-20,First Class,Furnishings
ORD-0213,CUST-6534,Technology,823.61,7,0.06,33.92,Central,2022-12-19,Standard Class,Accessories
ORD-0214,CUST-5061,Technology,662.92,6,0.27,128.72,West,2023-02-15,Second Class,Copiers
ORD-0215,CUST-1262,Technology,798.28,3,0.44,247.53,South,2023-11-09,Second Class,Phones
ORD-0216,CUST-7287,Technology,279.23,5,0.21,-3.52,East,2023-06-22,First Class,Machines
ORD-0217,CUST-9815,Furniture,695.44,1,0.24,280.88,South,2023-03-29,Standard Class,Bookcases
ORD-0218,CUST-3049,Office Supplies,271.42,7,0.04,7.89,South,2023-02-23,First Class,Labels
ORD-0219,CUST-6423,Furniture,939.68,9,0.14,100.54,West,2023-03-26,Second Class,Tables
ORD-0220,CUST-5548,Furniture,640.01,1,0.16,154.9,East,2023-08-08,Second Class,Tables
ORD-0221,CUST-4108,Furniture,331.27,2,0.47,275.3,Central,2022-04-25,Same Day,Chairs
ORD-0222,CUST-8158,Office Supplies,276.82,3,0.14,-77.69,Central,2022-02-20,Same Day,Paper
ORD-0223,CUST-8400,Technology,199.02,3,0.23,173.07,West,2023-01-04,Same Day,Phones
ORD-0224,CUST-4170,Technology,697.69,8,0.34,60.41,Central,2023-11-14,Standard Class,Copiers
ORD-0225,CUST-3255,Technology,226.53,7,0.08,-65.72,Central,2023-05-30,First Class,Machines
ORD-0226,CUST-2154,Office Supplies,599.35,6,0.24,188.3,South,2022-07-29,Second Class,Paper
ORD-0227,CUST-5499,Technology,271.99,4,0.37,76.11,South,2023-09-19,Second Class,Machines
ORD-0228,CUST-7295,Office Supplies,665.35,9,0.43,130.49,East,2023-11-10,Standard Class,Labels
ORD-0229,CUST-7197,Technology,816.79,1,0.31,-38.55,South,2023-03-11,Second Class,Copiers
ORD-0230,CUST-2648,Technology,780.24,2,0.33,40.64,Central,2022-08-15,Second Class,Copiers
ORD-0231,CUST-6539,Furniture,763.24,4,0.06,108.68,East,2023-10-25,First Class,Tables
ORD-0232,CUST-5199,Office Supplies,195.85,3,0.47,2.46,East,2022-09-25,Same Day,Art
ORD-0233,CUST-9445,Furniture,97.5,1,0.07,-100.81,West,2022-04-26,Same Day,Furnishings
ORD-0234,CUST-3557,Furniture,701.96,5,0.39,280.82,South,2023-08-23,Standard Class,Chairs
ORD-0235,CUST-6592,Furniture,374.66,7,0.13,55.73,East,2022-12-26,Same Day,Chairs
ORD-0236,CUST-1098,Office Supplies,438.02,2,0.47,166.96,Central,2022-11-25,Same Day,Binders
ORD-0237,CUST-3200,Office Supplies,40.84,5,0.36,5.52,East,2022-02-09,Standard Class,Paper
ORD-0238,CUST-3961,Technology,266.98,6,0.38,-22.43,East,2022-07-01,Standard Class,Copiers
ORD-0239,CUST-5973,Furniture,43.34,7,0.11,3.58,West,2023-05-05,Same Day,Bookcases
ORD-0240,CUST-5433,Technology,880.39,1,0.22,4.6,Central,2022-07-28,First Class,Copiers
ORD-0241,CUST-3869,Furniture,250.96,7,0.31,72.09,Central,2022-09-30,Standard Class,Bookcases
ORD-0242,CUST-1956,Office Supplies,561.76,4,0.38,71.73,South,2022-04-29,Second Class,Labels
ORD-0243,CUST-9352,Office Supplies,48.59,8,0.05,48.58,Central,2023-01-17,Standard Class,Binders
ORD-0244,CUST-6699,Office Supplies,670.18,4,0.48,-132.61,East,2023-06-20,Second Class,Labels
ORD-0245,CUST-7944,Furniture,329.8,6,0.45,48.04,Central,2022-09-15,Standard Class,Tables
ORD-0246,CUST-5493,Office Supplies,898.94,9,0.14,-115.45,Central,2023-04-28,Standard Class,Binders
ORD-0247,CUST-5911,Furniture,889.24,5,0.41,-136.93,East,2023-05-24,Same Day,Chairs
ORD-0248,CUST-4987,Technology,332.04,4,0.26,266.32,West,2022-04-02,Same Day,Machines
ORD-0249,CUST-7015,Furniture,901.95,8,0.23,102.48,South,2022-06-10,Same Day,Tables
ORD-0250,CUST-2218,Technology,996.2,9,0.16,129.75,South,2022-05-29,First Class,Accessories
ORD-0251,CUST-5496,Furniture,827.16,4,0.29,0.9,West,2022-04-27,Same Day,Chairs
ORD-0252,CUST-5735,Technology,846.42,3,0.36,254.49,East,2023-04-03,Same Day,Copiers
ORD-0253,CUST-5555,Office Supplies,256.52,8,0.21,118.97,South,2023-07-19,Standard Class,Paper
ORD-0254,CUST-9050,Technology,580.94,5,0.31,184.58,West,2022-02-14,Standard Class,Machines
ORD-0255,CUST-4446,Office Supplies,76.58,2,0.35,-15.72,West,2022-08-22,First Class,Paper
ORD-0256,CUST-2045,Office Supplies,103.97,9,0.36,280.01,West,2023-01-10,Second Class,Binders
ORD-0257,CUST-7893,Technology,998.9,3,0.03,210.23,South,2023-07-01,Standard Class,Copiers
ORD-0258,CUST-2693,Furniture,333.37,2,0.43,226.97,South,2022-07-16,Standard Class,Tables
ORD-0259,CUST-4436,Furniture,750.7,1,0.23,-113.9,South,2022-01-25,Second Class,Chairs
ORD-0260,CUST-9754,Furniture,808.6,8,0.13,-64.52,South,2023-01-30,First Class,Tables
ORD-0261,CUST-6895,Furniture,859.44,3,0.12,-57.19,Central,2023-12-15,Standard Class,Bookcases
ORD-0262,CUST-4354,Furniture,997.65,7,0.24,-64.55,West,2022-02-05,Same Day,Furnishings
ORD-0263,CUST-1225,Office Supplies,249.08,1,0.44,227.7,Central,2023-04-19,First Class,Binders
ORD-0264,CUST-5893,Furniture,49.95,1,0.19,-184.06,West,2022-08-11,Second Class,Chairs
